1.0000000e-04 13114 13131 -2.9825371e-02 2.1917843e-02 4.4439990e-01 -6.2555554e-02 -1.8793449e-01 -9.8100000e-04
2.0000000e-04 13114 13147 -2.9837483e-02 2.1884565e-02 4.4439971e-01 -1.2111700e-01 -3.3277751e-01 -1.9620000e-03
3.0000000e-04 13114 13170 -2.9854799e-02 2.1839973e-02 4.4439941e-01 -1.7316679e-01 -4.4591857e-01 -2.9430000e-03
4.0000000e-04 13114 13196 -2.9876809e-02 2.1786464e-02 4.4439902e-01 -2.2009260e-01 -5.3509265e-01 -3.9240000e-03
5.0000000e-04 13114 13241 -2.9903175e-02 2.1725903e-02 4.4439853e-01 -2.6365994e-01 -6.0560581e-01 -4.9050000e-03
6.0000000e-04 13114 13289 -2.9933695e-02 2.1659778e-02 4.4439794e-01 -3.0520192e-01 -6.6124880e-01 -5.8860000e-03
7.0000000e-04 13114 13369 -2.9968251e-02 2.1589296e-02 4.4439725e-01 -3.4556131e-01 -7.0482648e-01 -6.8670000e-03
8.0000000e-04 13114 13439 -3.0006772e-02 2.1515448e-02 4.4439647e-01 -3.8520494e-01 -7.3847251e-01 -7.8480000e-03
9.0000000e-04 13114 13521 -3.0049206e-02 2.1439064e-02 4.4439559e-01 -4.2434674e-01 -7.6384719e-01 -8.8290000e-03
1.0000000e-03 13114 13626 -3.0095510e-02 2.1360837e-02 4.4439460e-01 -4.6304227e-01 -7.8226766e-01 -9.8100000e-03
1.1000000e-03 13114 13761 -3.0145636e-02 2.1281357e-02 4.4439353e-01 -5.0125367e-01 -7.9479653e-01 -1.0791000e-02
1.2000000e-03 13114 13869 -3.0199525e-02 2.1201127e-02 4.4439235e-01 -5.3889205e-01 -8.0230382e-01 -1.1772000e-02
1.3000000e-03 13114 13995 -3.0257109e-02 2.1120576e-02 4.4439107e-01 -5.7584420e-01 -8.0551108e-01 -1.2753000e-02
1.4000000e-03 13114 14125 -3.0318308e-02 2.1040073e-02 4.4438970e-01 -6.1198911e-01 -8.0502361e-01 -1.3734000e-02
1.5000000e-03 13114 14255 -3.0383029e-02 2.0959938e-02 4.4438823e-01 -6.4720774e-01 -8.0135413e-01 -1.4715000e-02
1.6000000e-03 13114 14367 -3.0449327e-02 2.0881580e-02 4.4438666e-01 -6.6297625e-01 -7.8358534e-01 -1.5696000e-02
1.7000000e-03 13114 14493 -3.0516905e-02 2.0805253e-02 4.4438499e-01 -6.7578739e-01 -7.6326170e-01 -1.6677000e-02
1.8000000e-03 13114 14618 -3.0585595e-02 2.0731081e-02 4.4438322e-01 -6.8689136e-01 -7.4171833e-01 -1.7658000e-02
1.9000000e-03 13114 14747 -3.0655274e-02 2.0659138e-02 4.4438136e-01 -6.9679795e-01 -7.1943218e-01 -1.8639000e-02
2.0000000e-03 13114 14855 -3.0725847e-02 2.0589469e-02 4.4437940e-01 -7.0572585e-01 -6.9669176e-01 -1.9620000e-02
2.1000000e-03 13114 14997 -3.0797228e-02 2.0522102e-02 4.4437734e-01 -7.1381268e-01 -6.7367442e-01 -2.0601000e-02
2.2000000e-03 13114 15137 -3.0869344e-02 2.0457052e-02 4.4437518e-01 -7.2115885e-01 -6.5050019e-01 -2.1582000e-02
2.3000000e-03 13114 15262 -3.0942128e-02 2.0394326e-02 4.4437292e-01 -7.2784379e-01 -6.2725708e-01 -2.2563000e-02
2.4000000e-03 13114 15396 -3.1015522e-02 2.0333925e-02 4.4437057e-01 -7.3393281e-01 -6.0401405e-01 -2.3544000e-02
2.5000000e-03 13114 15525 -3.1089470e-02 2.0275842e-02 4.4436812e-01 -7.3948041e-01 -5.8082801e-01 -2.4525000e-02
2.6000000e-03 13114 15661 -3.1163923e-02 2.0220067e-02 4.4436557e-01 -7.4453227e-01 -5.5774771e-01 -2.5506000e-02
2.7000000e-03 13114 15772 -3.1238836e-02 2.0166585e-02 4.4436292e-01 -7.4912659e-01 -5.3481599e-01 -2.6487000e-02
2.8000000e-03 13114 15880 -3.1314165e-02 2.0115378e-02 4.4436017e-01 -7.5329509e-01 -5.1207102e-01 -2.7468000e-02
2.9000000e-03 13114 16001 -3.1389872e-02 2.0066424e-02 4.4435733e-01 -7.5706399e-01 -4.8954713e-01 -2.8449000e-02
3.0000000e-03 13114 16122 -3.1465917e-02 2.0019697e-02 4.4435438e-01 -7.6045061e-01 -4.6726752e-01 -2.9430000e-02
3.1000000e-03 13114 16234 -3.1542264e-02 1.9975171e-02 4.4435134e-01 -7.6347046e-01 -4.4525836e-01 -3.0411000e-02
3.2000000e-03 13114 16339 -3.1618877e-02 1.9932816e-02 4.4434820e-01 -7.6613732e-01 -4.2354676e-01 -3.1392000e-02
3.3000000e-03 13114 16441 -3.1695721e-02 1.9892605e-02 4.4434497e-01 -7.6843433e-01 -4.0211221e-01 -3.2373000e-02
3.4000000e-03 13114 16558 -3.1772759e-02 1.9854504e-02 4.4434163e-01 -7.7037894e-01 -3.8101035e-01 -3.3354000e-02
3.5000000e-03 13114 16675 -3.1849982e-02 1.9818462e-02 4.4433820e-01 -7.7223553e-01 -3.6042441e-01 -3.4335000e-02
3.6000000e-03 13114 16796 -3.1927362e-02 1.9784412e-02 4.4433467e-01 -7.7379479e-01 -3.4049373e-01 -3.5316000e-02
3.7000000e-03 13114 16904 -3.2004850e-02 1.9752287e-02 4.4433104e-01 -7.7488127e-01 -3.2125047e-01 -3.6297000e-02
3.8000000e-03 13114 16994 -3.2082539e-02 1.9721869e-02 4.4432731e-01 -7.7689549e-01 -3.0418415e-01 -3.7278000e-02
